tweet_id,tweet_time,tweet_text,sentiment,confidence,reason,initial_price,price_1h,change_1h,price_24h,change_24h,price_6h,change_6h
1949677180004467110,2025-07-28 03:43:57+00:00,@SawyerMerritt @Tesla Likely much more than that,BULLISH,0.8,"Elon Musk's response suggests optimism and potential for Tesla, indicating that there may be more positive developments or achievements beyond what was initially mentioned.",324.535,327.8,1.0060548168918564,319.18,-1.6500531529727203,,
1949675406384366051,2025-07-28 03:36:54+00:00,"Samsung agreed to allow Tesla to assist in maximizing manufacturing efficiency.

This is a critical point, as I will walk the line personally to accelerate the pace of progress. And the fab is conveni",BULLISH,0.9,"Elon Musk's statement indicates a positive outlook for Tesla's manufacturing efficiency and progress, with a personal commitment to accelerating the pace of progress. The use of emojis like 😃 also suggests a positive sentiment.",324.535,327.8,1.0060548168918564,319.18,-1.6500531529727203,,
1949673345567592869,2025-07-28 03:28:43+00:00,"Samsung’s giant new Texas fab will be dedicated to making Tesla’s next-generation AI6 chip. The strategic importance of this is hard to overstate.

Samsung currently makes AI4. 

TSMC will make AI5, w",BULLISH,0.9,"Elon Musk's tweet highlights a strategic partnership between Samsung and Tesla for the production of the next-generation AI6 chip, emphasizing the importance of this collaboration. This indicates positive developments for Tesla's future technology advancements, hence a bullish sentiment.",324.535,327.8,1.0060548168918564,319.18,-1.6500531529727203,,
1948679196265644064,2025-07-25 09:38:19+00:00,"Extreme execution is needed, but a valuation of $20 trillion for Tesla is possible",BULLISH,0.8,"Elon Musk's statement suggests a positive outlook on Tesla's potential future valuation, indicating confidence in the company's growth prospects.",313.09,318.69,1.7886230796256741,,,316.75,1.1689929413267832
1948157002674581792,2025-07-23 23:03:19+00:00,Tesla team is focused on making sure all Tesla owners try out FSD,BULLISH,0.8,"Elon Musk's statement indicates a positive outlook on Tesla's Full Self-Driving (FSD) technology and suggests a focus on enhancing the customer experience, which can be seen as bullish for Tesla's future prospects.",303.795,302.77,-0.33739857469676393,313.09,3.0596290261524905,,
1948040731521867806,2025-07-23 15:21:17+00:00,Tesla Autopilot saves lives,BULLISH,0.9,"The statement 'Tesla Autopilot saves lives' is a positive assertion about the safety benefits of Tesla's Autopilot feature, indicating a bullish sentiment towards Tesla's technology and impact on safety.",332.5,333.93,0.43007518796992683,302.59,-8.995488721804518,332.76,0.07819548872180178
1947440589311775220,2025-07-21 23:36:32+00:00,"Try it out. Aiming to be a fun experience for all, whether Tesla owners or not. 

Will keep improving.",BULLISH,0.8,"Elon Musk's statement indicates a positive outlook for Tesla, emphasizing the goal of providing a fun experience for all and a commitment to continuous improvement.",327.97,329.78,0.5518797450986204,333.28,1.6190505229136645,,
1947191931563565508,2025-07-21 07:08:28+00:00,"If our retro-futuristic diner turns out well, which I think it will, @Tesla will establish these in major cities around the world, as well as at Supercharger sites on long distance routes. 

An island",BULLISH,0.9,"Elon Musk is expressing optimism about Tesla's future plans to establish retro-futuristic diners in major cities and Supercharger sites, indicating a positive outlook for the company's expansion and customer experience.",329.98,329.03,-0.28789623613553716,327.97,-0.6091278259288414,,
1947053722808230379,2025-07-20 21:59:16+00:00,Your Tesla self-driving capability will see a step change improvement as we integrate upgrades for the Austin robotaxi build into the general production release,BULLISH,0.9,"Elon Musk's tweet suggests a positive outlook for Tesla's self-driving capability with a 'step change improvement' and integration of upgrades for the Austin robotaxi build into general production release, indicating confidence in the company's technological advancements.",329.98,329.03,-0.28789623613553716,327.97,-0.6091278259288414,,
1946992200065360110,2025-07-20 17:54:48+00:00,Tesla Semi Factory progress,BULLISH,0.8,"The tweet indicates progress in the Tesla Semi Factory, suggesting positive developments and growth within the company, which aligns with a bullish sentiment.",329.98,329.03,-0.28789623613553716,327.97,-0.6091278259288414,,
1946976922606735785,2025-07-20 16:54:06+00:00,"@SawyerMerritt @Tesla The whole experience is cool. 

@Tesla team did great work.",BULLISH,0.9,"Elon Musk's tweet expresses a positive sentiment about Tesla, mentioning that the whole experience is cool and praising the Tesla team for their great work.",329.98,329.03,-0.28789623613553716,327.97,-0.6091278259288414,,
