tweet_id,tweet_time,tweet_text,sentiment,confidence,is_product_announcement,contains_metrics,urgency_level,topic_category,forward_looking,engagement_category,time_category,likes,retweets,change_1h,change_6h,change_12h,change_24h
1949677180004467110,2025-07-28 03:43:57+00:00,@SawyerMerritt @Tesla Likely much more than that,BULLISH,0.8,False,False,LOW,PRODUCT,True,LOW,OVERNIGHT,2663,182,1.0060548168918564,,,-1.6500531529727205
1949675406384366051,2025-07-28 03:36:54+00:00,"Samsung agreed to allow Tesla to assist in maximizing manufacturing efficiency.

This is a critical point, as I will walk the line personally to accelerate the pace of progress. And the fab is conveni",BULLISH,0.8,False,False,MEDIUM,MANUFACTURING,True,MEDIUM,OVERNIGHT,31690,3288,1.0060548168918564,,,-1.6500531529727205
1949673345567592869,2025-07-28 03:28:43+00:00,"Samsung’s giant new Texas fab will be dedicated to making Tesla’s next-generation AI6 chip. The strategic importance of this is hard to overstate.

Samsung currently makes AI4. 

TSMC will make AI5, w",BULLISH,0.8,True,True,MEDIUM,TECHNOLOGY,True,HIGH,OVERNIGHT,134698,16324,1.0060548168918564,,,-1.6500531529727205
1949285990566420841,2025-07-27 01:49:30+00:00,Interview with Tesla Owners SV,NEUTRAL,0.7,False,False,LOW,PRODUCT,False,MEDIUM,WEEKEND,53548,10856,,,,
1948679196265644064,2025-07-25 09:38:19+00:00,"Extreme execution is needed, but a valuation of $20 trillion for Tesla is possible",BULLISH,0.8,False,True,HIGH,FINANCIAL,True,HIGH,PRE_MARKET,149691,18616,1.788623079625674,1.1689929413267832,,
1948157002674581792,2025-07-23 23:03:19+00:00,Tesla team is focused on making sure all Tesla owners try out FSD,BULLISH,0.8,True,False,MEDIUM,PRODUCT,True,MEDIUM,AFTER_HOURS,43238,6507,-0.3373985746967639,,,3.0596290261524905
1948040731521867806,2025-07-23 15:21:17+00:00,Tesla Autopilot saves lives,BULLISH,0.8,True,False,MEDIUM,SAFETY,True,MEDIUM,MARKET_HOURS,23659,4339,0.4300751879699268,0.0781954887218017,,-8.995488721804518
1947440589311775220,2025-07-21 23:36:32+00:00,"Try it out. Aiming to be a fun experience for all, whether Tesla owners or not. 

Will keep improving.",BULLISH,0.8,True,False,LOW,PRODUCT,True,HIGH,AFTER_HOURS,91063,12739,0.5518797450986204,,,1.6190505229136645
1947193508265369628,2025-07-21 07:14:44+00:00,@JaneidyEve @Tesla Ok,NEUTRAL,0.7,False,False,LOW,OTHER,False,LOW,OVERNIGHT,4899,163,,,,
1947191931563565508,2025-07-21 07:08:28+00:00,"If our retro-futuristic diner turns out well, which I think it will, @Tesla will establish these in major cities around the world, as well as at Supercharger sites on long distance routes. 

An island",BULLISH,0.8,True,False,MEDIUM,PRODUCT,True,HIGH,OVERNIGHT,141856,17298,-0.2878962361355371,,,-0.6091278259288414
1947053722808230379,2025-07-20 21:59:16+00:00,Your Tesla self-driving capability will see a step change improvement as we integrate upgrades for the Austin robotaxi build into the general production release,BULLISH,0.8,True,False,MEDIUM,PRODUCT,True,MEDIUM,WEEKEND,61848,6502,-0.2878962361355371,,,-0.6091278259288414
1946992200065360110,2025-07-20 17:54:48+00:00,Tesla Semi Factory progress,BULLISH,0.8,True,False,MEDIUM,MANUFACTURING,True,MEDIUM,WEEKEND,40395,6162,-0.2878962361355371,,,-0.6091278259288414
1946976922606735785,2025-07-20 16:54:06+00:00,"@SawyerMerritt @Tesla The whole experience is cool. 

@Tesla team did great work.",BULLISH,0.8,False,False,LOW,PRODUCT,False,LOW,WEEKEND,2346,147,-0.2878962361355371,,,-0.6091278259288414
1946976274641248438,2025-07-20 16:51:31+00:00,@whistingbhole @SpaceX @Tesla ♥️,BULLISH,0.8,False,False,LOW,OTHER,False,LOW,WEEKEND,1094,70,-0.2878962361355371,,,-0.6091278259288414
1946742000893714690,2025-07-20 01:20:36+00:00,"I resisted AI for too long 

Living in denial 

Now it is game on

@xAI @Tesla @SpaceX",BULLISH,0.8,False,False,MEDIUM,TECHNOLOGY,True,MEDIUM,WEEKEND,76214,11610,,,,
1946733522942886088,2025-07-20 00:46:55+00:00,Held a soft opening for First Responders at the Tesla Diner in LA,BULLISH,0.8,True,False,LOW,PRODUCT,True,HIGH,WEEKEND,94542,10754,,,,
1944686753543229579,2025-07-14 09:13:47+00:00,"I just had dinner at the retro-futuristic @Tesla diner and Supercharger.

Team did great work making it one of the coolest spots in LA!",BULLISH,0.8,False,False,LOW,PRODUCT,False,MEDIUM,PRE_MARKET,57451,7814,0.0858915221886374,,,0.862096389374894
1944585146952470601,2025-07-14 02:30:02+00:00,"Just left the @Tesla design studio.

Most epic demo ever by end of year. 

Ever.",BULLISH,0.9,True,False,HIGH,PRODUCT,True,HIGH,OVERNIGHT,192039,13582,0.0858915221886374,,,0.862096389374894
1944534221672104233,2025-07-13 23:07:40+00:00,"@TSLA4orphans It’s not up to me. If it was up to me, Tesla would have invested in xAI long ago. 

We will have a shareholder vote on the matter.",NEUTRAL,0.7,False,False,LOW,TECHNOLOGY,True,LOW,WEEKEND,3946,374,,,,
1944526807186735121,2025-07-13 22:38:13+00:00,"Ultimately, it’s just going to be:

Input Bitstream -> Feedback -> Output Bitstream

Tesla already does the first two steps in the car and has also been able to generate real-world video for a few yea",BULLISH,0.8,True,False,MEDIUM,TECHNOLOGY,True,LOW,WEEKEND,6891,1469,0.0858915221886374,,,0.862096389374894
1939711358737813821,2025-06-30 15:43:20+00:00,Try Tesla supervised self-driving!,BULLISH,0.8,True,False,MEDIUM,PRODUCT,True,MEDIUM,MARKET_HOURS,34887,4705,-0.0842249742645855,,,-5.761612128396285
1939592691156914627,2025-06-30 07:51:48+00:00,"@farzyness As soon as we feel it is safe to do so. 

Probably within a month or two. We continue to improve the Tesla AI with each mile driven.",BULLISH,0.8,True,True,MEDIUM,PRODUCT,True,LOW,OVERNIGHT,4776,400,0.1297645477002033,-1.4102123135611742,,-4.890403677183324
